#,OBJECTID,Código de la remoción en masa,Región,Tipo de remoción en masa,Tipo de material,Clasificación de remoción en masa,Detonante,Día del evento,Mes de inicio del evento,Año del evento,Estación de ocurrencia del evento,Método de obtención de la información,Fuente de la información,Autor de la fuente,Nota,Enlace de documento asociado,Latitud,Longitud,Precisión de coordenadas
862,2078,RM-2015-21-069,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.87437562,-70.28520777,Coordenadas exactas
861,2077,RM-2015-21-068,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.86984089,-70.28630704,Coordenadas exactas
860,2076,RM-2015-21-067,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.8686299,-70.27624727,Coordenadas exactas
859,2075,RM-2015-21-066,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.85369636,-70.30049291,Coordenadas exactas
858,2074,RM-2015-21-065,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.85356513,-70.30151508,Coordenadas exactas
857,2073,RM-2015-21-064,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.85271171,-70.3050927,Coordenadas exactas
856,2072,RM-2015-21-063,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.85274112,-70.30377465,Coordenadas exactas
855,2071,RM-2015-21-062,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.85018453,-70.30789938,Coordenadas exactas
854,2070,RM-2015-21-061,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.84907657,-70.31107591,Coordenadas exactas
853,2069,RM-2015-21-060,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.82415268,-70.35325699,Coordenadas exactas
852,2068,RM-2015-21-059,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.83464798,-70.43151508,Coordenadas exactas
851,2067,RM-2015-21-058,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.83528453,-70.43334754,Coordenadas exactas
850,2066,RM-2015-21-057,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81783373,-70.44859209,Coordenadas exactas
849,2065,RM-2015-21-056,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77417156,-70.43770667,Coordenadas exactas
848,2064,RM-2015-21-055,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.76418093,-70.45529884,Coordenadas exactas
847,2063,RM-2015-21-054,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.75838033,-70.46131583,Coordenadas exactas
846,2062,RM-2015-21-053,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.75088784,-70.47834081,Coordenadas exactas
845,2061,RM-2015-21-052,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.768952,-70.45426847,Coordenadas exactas
844,2060,RM-2015-21-051,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.76909609,-70.4532137,Coordenadas exactas
843,2059,RM-2015-21-050,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77444415,-70.44259307,Coordenadas exactas
842,2058,RM-2015-21-049,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77517888,-70.44017101,Coordenadas exactas
841,2057,RM-2015-21-048,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77592343,-70.43664275,Coordenadas exactas
840,2056,RM-2015-21-047,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81201775,-70.44895421,Coordenadas exactas
839,2055,RM-2015-21-046,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79525784,-70.46461597,Coordenadas exactas
838,2054,RM-2015-21-045,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.7956161,-70.46461776,Coordenadas exactas
837,2053,RM-2015-21-044,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79583892,-70.46453082,Coordenadas exactas
836,2052,RM-2015-21-043,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77764375,-70.46890356,Coordenadas exactas
835,2051,RM-2015-21-042,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.78196788,-70.46435244,Coordenadas exactas
834,2050,RM-2015-21-041,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.84961478,-70.43520907,Coordenadas exactas
833,2049,RM-2015-21-040,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.84544343,-70.43774887,Coordenadas exactas
832,2048,RM-2015-21-039,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.8259138,-70.44087381,Coordenadas exactas
831,2047,RM-2015-21-038,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81530128,-70.4447644,Coordenadas exactas
830,2046,RM-2015-21-037,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.92698777,-70.45847117,Coordenadas exactas
829,2045,RM-2015-21-036,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.92057794,-70.45340931,Coordenadas exactas
828,2044,RM-2015-21-035,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.89585135,-70.45100938,Coordenadas exactas
827,2043,RM-2015-21-034,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.89531239,-70.4497168,Coordenadas exactas
826,2042,RM-2015-21-033,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.88094226,-70.44713359,Coordenadas exactas
825,2041,RM-2015-21-032,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.86631999,-70.44347863,Coordenadas exactas
824,2040,RM-2015-21-031,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.8165551,-70.44406531,Coordenadas exactas
823,2039,RM-2015-21-030,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81133705,-70.44588922,Coordenadas exactas
822,2038,RM-2015-21-029,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.8078285,-70.44846356,Coordenadas exactas
821,2037,RM-2015-21-028,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.80407109,-70.45271912,Coordenadas exactas
820,2036,RM-2015-21-027,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.80558431,-70.45698658,Coordenadas exactas
819,2035,RM-2015-21-026,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.7976022,-70.45676167,Coordenadas exactas
818,2034,RM-2015-21-025,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79727448,-70.45722417,Coordenadas exactas
817,2033,RM-2015-21-024,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.78591934,-70.45917574,Coordenadas exactas
816,2032,RM-2015-21-023,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.7890221,-70.45886946,Coordenadas exactas
815,2031,RM-2015-21-022,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.83510834,-70.32608802,Coordenadas exactas
814,2030,RM-2015-21-021,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81726764,-70.37668736,Coordenadas exactas
813,2029,RM-2015-21-020,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.80586527,-70.38926998,Coordenadas exactas
812,2028,RM-2015-21-019,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.82751596,-70.34209933,Coordenadas exactas
811,2027,RM-2015-21-018,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79528332,-70.39820836,Coordenadas exactas
810,2026,RM-2015-21-017,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77220533,-70.41653805,Coordenadas exactas
809,2025,RM-2015-21-016,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79236614,-70.39902471,Coordenadas exactas
808,2024,RM-2015-21-015,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.79673354,-70.39563569,Coordenadas exactas
807,2023,RM-2015-21-014,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77796077,-70.4258021,Coordenadas exactas
806,2022,RM-2015-21-013,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.77901146,-70.42397046,Coordenadas exactas
805,2021,RM-2015-21-012,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.7793238,-70.41781871,Coordenadas exactas
804,2020,RM-2015-21-011,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.81046846,-70.3826439,Coordenadas exactas
803,2019,RM-2015-21-010,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.80121148,-70.39204965,Coordenadas exactas
802,2018,RM-2015-21-009,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.7866548,-70.39845314,Coordenadas exactas
801,2017,RM-2015-21-008,Atacama,5,Suelo/Sedimento,Flujo de detritos,Lluvias,24 y 25,Marzo,2015,Otoño (del 21-03 al 20-06),Observado en terreno,2015. Efectos geológicos del evento meteorológico de marzo de 2015 en la comuna de Alto del Carmen,"Alfaro, A.; Fuentes, F.; Murillo, I.",,https://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2015-21.pdf,-28.8252605,-70.35574486,Coordenadas exactas
